"cont","year","fc","perc"
"America",2129,364448999,46.9768061757163
"Asia",2129,60232248,79.7258931302748
"Africa",2130,99341314,63.8750194754671
"America",2130,362272142,47.2935141676588
"Asia",2130,59012616,80.1364198884615
"Africa",2131,98423849,64.208651112924
"America",2131,360095285,47.6102221596013
"Asia",2131,57816802,80.5389295346615
"Africa",2132,97506384,64.5422827503809
"America",2132,357918428,47.9269301515438
"Asia",2132,56649773,80.9317501822666
"Africa",2133,96588919,64.8759143878378
"America",2133,355741571,48.2436381434863
"Asia",2133,55482744,81.3245708298717
"Africa",2134,95671454,65.2095460252947
"America",2134,353564714,48.5603461354289
"Asia",2134,54324246,81.7145199524806
"Africa",2135,94753989,65.5431776627516
"America",2135,351387857,48.8770541273714
"Asia",2135,53171277,82.1026080199138
"Africa",2136,93836524,65.8768093002085
"America",2136,349211000,49.1937621193139
"Asia",2136,52018308,82.4906960873471
"Africa",2137,92919059,66.2104409376654
"America",2137,347034143,49.5104701112564
"Asia",2137,50865339,82.8787841547803
"Africa",2138,92001594,66.5440725751223
"America",2138,344857286,49.8271781031989
"Asia",2138,49712370,83.2668722222136
"Africa",2139,91084129,66.8777042125792
"America",2139,342680429,50.1438860951414
"Asia",2139,48559401,83.6549602896468
"Africa",2140,90166664,67.2113358500361
"America",2140,340503572,50.4605940870839
"Asia",2140,47406432,84.0430483570801
"Africa",2141,89249199,67.544967487493
"America",2141,338326715,50.7773020790264
"Asia",2141,46253463,84.4311364245133
"Africa",2142,88331734,67.8785991249499
"America",2142,336149858,51.094010070969
"Asia",2142,45100494,84.8192244919466
"Africa",2143,87414269,68.2122307624068
"America",2143,333973001,51.4107180629115
"Asia",2143,43947525,85.2073125593798
"Africa",2144,86496804,68.5458623998637
"America",2144,331796144,51.727426054854
"Asia",2144,42794556,85.5954006268131
"Africa",2145,85579339,68.8794940373206
"America",2145,329619287,52.0441340467965
"Asia",2145,42052513,85.8451714652505
"Africa",2146,84662113,69.2130387636024
"America",2146,327442430,52.360842038739
"Asia",2146,41839411,85.9169013585487
"Africa",2147,83744995,69.5465442162149
"America",2147,325265573,52.6775500306815
"Asia",2147,41626309,85.988631251847
"Africa",2148,82827877,69.8800496688275
"America",2148,323088716,52.994258022624
"Asia",2148,41413207,86.0603611451452
"Africa",2149,81910759,70.2135551214401
"America",2149,320911859,53.3109660145665
"Asia",2149,41200105,86.1320910384434
"Africa",2150,80993641,70.5470605740527
"America",2150,318735002,53.6276740065091
"Asia",2150,40987003,86.2038209317416
"Africa",2151,80076523,70.8805660266653
"America",2151,316560090,53.9440990230222
"Asia",2151,40773901,86.2755508250399
"Africa",2152,79159405,71.2140714792778
"America",2152,314385588,54.2604643891877
"Asia",2152,40560799,86.3472807183381
"Africa",2153,78242287,71.5475769318904
"America",2153,312211086,54.5768297553532
"Asia",2153,40347697,86.4190106116363
"Africa",2154,77325169,71.881082384503
"America",2154,310036584,54.8931951215187
"Asia",2154,40134595,86.4907405049345
"Africa",2155,76408051,72.2145878371156
"America",2155,307862082,55.2095604876843
"Asia",2155,39921493,86.5624703982327
"Africa",2156,75490933,72.5480932897282
"America",2156,305687580,55.5259258538498
"Asia",2156,39708391,86.634200291531
"Africa",2157,74573815,72.8815987423407
"America",2157,303513078,55.8422912200153
"Asia",2157,39495289,86.7059301848292
"Africa",2158,73656697,73.2151041949533
"America",2158,301338576,56.1586565861808
"Asia",2158,39370476,86.7479421001197
"Africa",2159,72739579,73.5486096475659
"America",2159,299164074,56.4750219523463
"Asia",2159,39250426,86.7883507949721
"Africa",2160,71822461,73.8821151001785
"America",2160,296989572,56.7913873185119
"Asia",2160,39130376,86.8287594898246
"Africa",2161,70905343,74.2156205527911
"America",2161,294815070,57.1077526846774
"Asia",2161,39010326,86.8691681846771
"Africa",2162,69988225,74.5491260054037
"America",2162,292640568,57.4241180508429
"Asia",2162,38890276,86.9095768795296
"Africa",2163,69071107,74.8826314580162
"America",2163,290466066,57.7404834170084
"Asia",2163,38770226,86.949985574382
"Africa",2164,68153989,75.2161369106288
"America",2164,288291564,58.0568487831739
"Asia",2164,38650176,86.9903942692345
"Africa",2165,67236871,75.5496423632414
"America",2165,286117062,58.3732141493395
"Asia",2165,38530126,87.030802964087
"Africa",2166,66319753,75.883147815854
"America",2166,283942560,58.689579515505
"Asia",2166,38417782,87.0686178280146
"Africa",2167,65402635,76.2166532684666
"America",2167,281770935,59.0055263108168
"Asia",2167,38335866,87.0961906613968
"Africa",2168,64485517,76.5501587210791
"America",2168,279610953,59.3197791817459
"Asia",2168,38253950,87.123763494779
"Africa",2169,63568399,76.8836641736917
"America",2169,277450971,59.6340320526749
"Asia",2169,38172034,87.1513363281612
"Africa",2170,62651281,77.2171696263043
"America",2170,275290989,59.9482849236039
"Asia",2170,38090118,87.1789091615434
"Africa",2171,61734163,77.5506750789169
"America",2171,273131007,60.262537794533
"Asia",2171,38008202,87.2064819949257
"Africa",2172,60817045,77.8841805315295
"America",2172,270971025,60.576790665462
"Asia",2172,37926286,87.2340548283079
"Africa",2173,59899927,78.2176859841421
"America",2173,268811043,60.8910435363911
"Asia",2173,37844370,87.2616276616901
"Africa",2174,58982809,78.5511914367546
"America",2174,266651729,61.2051992209001
"Asia",2174,37762454,87.2892004950723
"Africa",2175,58065691,78.8846968893672
"America",2175,264494319,61.5190778950145
"Asia",2175,37680538,87.3167733284545
"Africa",2176,57148573,79.2182023419798
"America",2176,262336909,61.832956569129
"Asia",2176,37598622,87.3443461618368
"Africa",2177,56231455,79.5517077945924
"America",2177,260179499,62.1468352432434
"Asia",2177,37516706,87.371918995219
"Africa",2178,55314337,79.885213247205
"America",2178,258022089,62.4607139173578
"Asia",2178,37434790,87.3994918286012
"Africa",2179,54397219,80.2187186998175
"America",2179,255864679,62.7745925914722
"Asia",2179,37358319,87.4252318811132
"Africa",2180,53480101,80.5522241524301
"America",2180,253707269,63.0884712655866
"Asia",2180,37287534,87.4490580324262
"Africa",2181,52562983,80.8857296050427
"America",2181,251549859,63.4023499397011
"Asia",2181,37216749,87.4728841837393
"Africa",2182,51971777,81.1007187608736
"America",2182,249392449,63.7162286138155
"Asia",2182,37145964,87.4967103350523
"Africa",2183,51786812,81.1679803739293
"America",2183,247235039,64.0301072879299
"Asia",2183,37075179,87.5205364863654
"Africa",2184,51601847,81.2352419869851
"America",2184,245077629,64.3439859620443
"Asia",2184,37004394,87.5443626376784
"Africa",2185,51416882,81.3025036000409
"America",2185,242993320,64.6472292701613
"Asia",2185,36933609,87.5681887889915
"Africa",2186,51231917,81.3697652130967
"America",2186,241010871,64.9356531041194
"Asia",2186,36862824,87.5920149403046
"Africa",2187,51046952,81.4370268261524
"America",2187,239028477,65.2240689362016
"Asia",2187,36792039,87.6158410916176
"Africa",2188,50861987,81.5042884392082
"America",2188,237046083,65.5124847682837
"Asia",2188,36721254,87.6396672429307
"Africa",2189,50677022,81.571550052264
"America",2189,235063731,65.8008944898425
"Asia",2189,36650469,87.6634933942437
"Africa",2190,50492057,81.6388116653197
"America",2190,233081598,66.0892723493863
"Asia",2190,36579684,87.6873195455568
"Africa",2191,50307092,81.7060732783755
