area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Colombia,Colombia,COL,high,181668070,222599419,333597375,449016597,688845778,808880012,929192721,1174895880,1443508481,1585560736,1731658567,2034012443,2346943180,1,3
America,Costa Rica,Costa Rica,CRI,low,4690674,2574019,4052647,5623191,9023567,10834616,12702304,16575662,20599615,22662688,24766840,29099623,33627355,1,1
America,Costa Rica,Costa Rica,CRI,mean,4690674,4244812,6755715,9472699,15350536,18449866,21631677,28280600,35392182,39155655,43076727,51441553,60588087,1,2
America,Costa Rica,Costa Rica,CRI,high,4690674,6032000,9698316,13658988,22149906,26649475,31346587,41491018,52851563,59072424,65682826,79978135,90711447,1,3
America,Cuba,Cuba,CUB,low,3124274,1194562,2054721,2953521,4816538,5790638,6798142,8889849,11078782,12219945,13398571,15904228,18632355,1,1
America,Cuba,Cuba,CUB,mean,3124274,2630174,4317072,6081827,9910074,11947265,14112776,18964992,24430365,27375201,30472047,36947700,37889980,1,2
America,Cuba,Cuba,CUB,high,3124274,4150271,6737482,9524254,15747769,19383912,23329167,32121489,37889980,37889980,37889980,37889980,37889980,1,3
America,Dominica,Dominica,DMA,low,72343,27331,44278,62289,100545,120508,141382,185114,232057,256250,281026,332449,385480,1,1
America,Dominica,Dominica,DMA,mean,72343,62839,101492,142693,234258,283847,335810,443177,552102,607819,663552,776726,893910,1,2
America,Dominica,Dominica,DMA,high,72343,102157,165393,235798,391702,473026,555609,724285,899431,990002,1082138,1269721,1463659,1,3
America,Dominican Rep.,Dominican Rep.,DOM,low,3244973,1690058,2593607,3533212,5571900,6633585,7714561,9968375,12293419,13496695,14718091,17248633,19929092,1,1
America,Dominican Rep.,Dominican Rep.,DOM,mean,3244973,3053500,4772182,6619128,10516349,12565900,14685479,19195599,24302340,27217556,30548885,31637771,31637771,1,2
America,Dominican Rep.,Dominican Rep.,DOM,high,3244973,4506909,7150616,9937760,15920708,19177691,22740259,31637771,31637771,31637771,31637771,31637771,31637771,1,3
America,Ecuador,Ecuador,ECU,low,34207231,14155444,23155638,32804926,53529510,64584794,76001557,99493978,123698486,136118156,148762176,174571016,200871838,1,1
America,Ecuador,Ecuador,ECU,mean,34207231,25785056,42067774,59631454,97523680,117245450,137539397,179675098,223061116,245030415,267207870,312408978,359082563,1,2
