"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Panama","Panama","PAN",4442894,4334780,4214421,4117072,3998243,2405,23274,18560,27987,27987,0.7,3718373,3578438,3438503,3158633,3018698,2878763,2598893,2319023,2179088,2039153,1759283,2162
"America","Paraguay","Paraguay","PRY",2370210,1769522,1458034,1235606,1070949,8859,40703,23340,58066,58066,5,490289,199959,0,0,0,0,0,0,0,0,0,2038
"America","Peru","Peru","PER",73541459,72857996,72081208,71351409,70775079,5979,139438,127720,151157,151157,0.2,69263509,68507724,67751939,66240369,65484584,64728799,63217229,61705659,60949874,60194089,58682519,2488
"America","Puerto Rico","Puerto Rico","PRI",426377,393067,366795,344235,319918,1325,4793,2196,7390,7390,2.2,246018,209068,172118,98218,61268,24318,0,0,0,0,0,2063
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",9222,9182,8987,8828,8600,10,41,20,61,61,0.7,7990,7685,7380,6770,6465,6160,5550,4940,4635,4330,3720,2160
"America","Saint Lucia","Saint Lucia","LCA",47508,47412,46884,44869,43954,76,260,111,408,408,0.9,39874,37834,35794,31714,29674,27634,23554,19474,17434,15394,11314,2127
"America","Saint Martin","Saint Martin","MAF",729,690,563,493,255,11,29,7,52,52,22.7,0,0,0,0,0,0,0,0,0,0,0,2024
"America","Saint Vincent","Saint Vincent","VCT",28785,28764,28543,27834,27457,29,101,43,159,159,0.6,25867,25072,24277,22687,21892,21097,19507,17917,17122,16327,14737,2192
"America","Sint Maarten","Sint Maarten","SXM",308,291,217,189,105,5,12,3,21,21,29.1,0,0,0,0,0,0,0,0,0,0,0,2025
"America","Suriname","Suriname","SUR",13827704,13781883,13740572,13683871,13626641,1215,12243,9862,14624,14624,0.1,13480401,13407281,13334161,13187921,13114801,13041681,12895441,12749201,12676081,12602961,12456721,2951
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",348862,345103,333760,314079,306508,928,2876,1057,4696,4696,1.5,259548,236068,212588,165628,142148,118668,71708,24748,1268,0,0,2085
"America","Venezuela","Venezuela","VEN",44819078,43649334,42989517,42151553,41462787,24682,150796,102419,199173,199173,0.5,39471057,38475192,37479327,35487597,34491732,33495867,31504137,29512407,28516542,27520677,25528947,2228
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",4040,3382,2878,2467,1853,34,106,39,173,173,8.8,123,0,0,0,0,0,0,0,0,0,0,2030
"America","Virgin Isl. US","Virgin Isl. US","VIR",9284,8603,8185,7636,6426,58,175,61,290,290,4.3,3526,2076,626,0,0,0,0,0,0,0,0,2042
"Africa","Angola","Angola","AGO",7172909,6553638,6113253,5615976,5262095,11559,87858,65201,110514,110514,2,4156955,3604385,3051815,1946675,1394105,841535,0,0,0,0,0,2067
"Africa","Benin","Benin","BEN",76938,58793,47194,39348,32299,297,1525,942,2108,2108,5.7,11219,679,0,0,0,0,0,0,0,0,0,2035
"Africa","Burundi","Burundi","BDI",106984,78239,65078,57601,54976,372,1277,548,2006,2006,3.6,34916,24886,14856,0,0,0,0,0,0,0,0,2047
"Africa","Cameroon","Cameroon","CMR",23886549,23746763,23572616,23269771,22876201,8785,69562,52343,86781,86781,0.4,22008391,21574486,21140581,20272771,19838866,19404961,18537151,17669341,17235436,16801531,15933721,2283
"Africa","CAR","CAR","CAF",9810519,9561444,9345475,9083331,8819958,6898,52666,39146,66185,66185,0.7,8158108,7827183,7496258,6834408,6503483,6172558,5510708,4848858,4517933,4187008,3525158,2153
"Africa","Comoros","Comoros","COM",86655,86648,86647,86647,81881,489,1108,150,2067,2067,2.7,61211,50876,40541,19871,9536,0,0,0,0,0,0,2059
"Africa","Congo","Congo","COG",24093267,24055485,23972043,23671270,23376720,7495,57435,42745,72126,72126,0.3,22655460,22294830,21934200,21212940,20852310,20491680,19770420,19049160,18688530,18327900,17606640,2344
"Africa","DRC","DRC","COD",131620875,129176099,126163711,121659649,117811537,66836,860154,729156,991153,991153,0.8,107900007,102944242,97988477,88076947,83121182,78165417,68253887,58342357,53386592,48430827,38519297,2138
"Africa","Eq. Guinea","Eq. Guinea","GNQ",2647036,2646362,2642819,2625942,2610005,392,3104,2337,3872,3872,0.1,2571285,2551925,2532565,2493845,2474485,2455125,2416405,2377685,2358325,2338965,2300245,2694
"Africa","Ethiopia","Ethiopia","ETH",3806058,3286258,2858117,2422128,2131141,11401,76204,53858,98549,98549,4.1,1145651,652906,160161,0,0,0,0,0,0,0,0,2041
"Africa","Gabon","Gabon","GAB",24132217,24125158,24110748,24053982,23974448,2224,12996,8636,17356,17356,0.1,23800888,23714108,23627328,23453768,23366988,23280208,23106648,22933088,22846308,22759528,22585968,3401
"Africa","Gambia","Gambia","GMB",52100,47993,45724,44165,41529,115,377,152,603,603,1.4,35499,32484,29469,23439,20424,17409,11379,5349,2334,0,0,2088
"Africa","Ghana","Ghana","GHA",4933955,4771741,4467816,4091930,3325917,24123,114665,67385,161946,161946,4.4,1706457,896727,86997,0,0,0,0,0,0,0,0,2040
"Africa","Guinea","Guinea","GIN",1913715,1530674,1239294,995933,840609,3788,43356,35932,50781,50781,5.1,332799,78894,0,0,0,0,0,0,0,0,0,2036
"Africa","Guinea Bissau","Guinea Bissau","GNB",410011,357620,335068,312085,290321,276,4788,4247,5328,5328,1.7,237041,210401,183761,130481,103841,77201,23921,0,0,0,0,2074
"Africa","Ivory Coast","Ivory Coast","CIV",7723688,7164570,6367954,5110473,3871989,34003,258785,192139,325431,325431,6.9,617679,0,0,0,0,0,0,0,0,0,0,2031
"Africa","Kenya","Kenya","KEN",1206091,1030146,901761,837152,749180,4498,18933,10117,27750,27750,3.6,471680,332930,194180,0,0,0,0,0,0,0,0,2046
"Africa","Liberia","Liberia","LBR",8912412,8869668,8706865,8359199,7804544,13862,92211,65041,119380,119380,1.5,6610744,6013844,5416944,4223144,3626244,3029344,1835544,641744,44844,0,0,2085
"Africa","Madagascar","Madagascar","MDG",7211577,6334522,5668869,4960761,4543201,12663,125717,100897,150537,150537,3,3037831,2285146,1532461,27091,0,0,0,0,0,0,0,2050
"Africa","Malawi","Malawi","MWI",115028,92771,70952,47992,38379,583,3589,2447,4731,4731,10.4,0,0,0,0,0,0,0,0,0,0,0,2028
"Africa","Mauritius","Mauritius","MUS",49679,49256,47404,44690,43480,170,434,101,767,767,1.7,35810,31975,28140,20470,16635,12800,5130,0,0,0,0,2076
"Africa","Mayotte","Mayotte","MYT",17934,17898,17253,13477,12236,185,494,131,856,856,6.6,3676,0,0,0,0,0,0,0,0,0,0,2034
"Africa","Nigeria","Nigeria","NGA",7779903,7571829,7242592,6852156,6257778,16390,100796,68671,132921,132921,2,4928568,4263963,3599358,2270148,1605543,940938,0,0,0,0,0,2067
"Africa","Reunion","Reunion","REU",141857,141813,141743,138428,134053,180,706,353,1060,1060,0.8,123453,118153,112853,102253,96953,91653,81053,70453,65153,59853,49253,2146
"Africa","Rwanda","Rwanda","RWA",288448,231137,199111,169040,159771,1312,5066,2496,7637,7637,4.7,83401,45216,7031,0,0,0,0,0,0,0,0,2040
"Africa","Senegal","Senegal","SEN",139624,135014,131508,127980,123646,224,702,263,1140,1140,0.9,112246,106546,100846,89446,83746,78046,66646,55246,49546,43846,32446,2128
"Africa","Sierra Leone","Sierra Leone","SLE",3465002,3033371,2364721,1787914,1379963,14411,112453,84208,140698,140698,8.6,0,0,0,0,0,0,0,0,0,0,0,2029
"Africa","South Sudan","South Sudan","SSD",268640,231854,206744,182335,163766,553,4552,3468,5635,5635,3.1,107416,79241,51066,0,0,0,0,0,0,0,0,2049
"Africa","Tanzania","Tanzania","TZA",1444434,1293163,1208300,1130421,1089819,2070,13595,9538,17652,17652,1.6,913299,825039,736779,560259,471999,383739,207219,30699,0,0,0,2081
"Africa","Togo","Togo","TGO",159931,125957,104138,87032,65083,855,3886,2210,5563,5563,7.4,9453,0,0,0,0,0,0,0,0,0,0,2031
"Africa","Uganda","Uganda","UGA",1888004,1489147,1105528,849742,744998,6442,43528,30902,56154,56154,6.8,183458,0,0,0,0,0,0,0,0,0,0,2033
"Africa","Zambia","Zambia","ZMB",182617,142735,115938,95857,79807,660,3782,2488,5076,5076,5.6,29047,3667,0,0,0,0,0,0,0,0,0,2035
"Asia","Australia","Australia – Queensland","QLD",2078357,1968732,1896545,1831643,1776671,3110,14196,8101,20292,20292,1.1,1573751,1472291,1370831,1167911,1066451,964991,762071,559151,457691,356231,153311,2107
"Asia","Bangladesh","Bangladesh","BGD",982346,901540,831470,797984,781964,931,5948,4124,7772,7772,1,704244,665384,626524,548804,509944,471084,393364,315644,276784,237924,160204,2120
"Asia","Bhutan","Bhutan","BTN",2019326,1952777,1886291,1824727,1795038,1253,10769,8313,13225,13225,0.7,1662788,1596663,1530538,1398288,1332163,1266038,1133788,1001538,935413,869288,737038,2155
"Asia","Brunei","Brunei","BRN",515193,507557,502251,497818,494430,111,901,684,1119,1119,0.2,483240,477645,472050,460860,455265,449670,438480,427290,421695,416100,404910,2461
"Asia","Cambodia","Cambodia","KHM",4829395,4371680,3882966,3218407,2792304,16575,110144,77657,142632,142632,4.5,1365984,652824,0,0,0,0,0,0,0,0,0,2039
"Asia","Fiji","Fiji","FJI",1006437,988762,964772,936652,924361,716,4465,3062,5868,5868,0.6,865681,836341,807001,748321,718981,689641,630961,572281,542941,513601,454921,2177
"Asia","India","India – Andaman and N.","AN",612986,607541,592206,581136,573667,655,1960,675,3245,3245,0.6,541217,524992,508767,476317,460092,443867,411417,378967,362742,346517,314067,2196
"Asia","India","India – North-East","NE",7278123,6641155,6052815,5706312,5537158,9788,65405,46221,84590,84590,1.5,4691258,4268308,3845358,2999458,2576508,2153558,1307658,461758,38808,0,0,2085
"Asia","India","India – West. Ghats","WG",3160881,2930478,2722878,2460868,2200503,8617,54283,37393,71172,71172,3,1488783,1132923,777063,65343,0,0,0,0,0,0,0,2050
"Asia","Indonesia","Indonesia","IDN",141262276,134714466,127698863,121333151,116317384,144536,1215487,932196,1498778,1498778,1.2,101329604,93835714,86341824,71354044,63860154,56366264,41378484,26390704,18896814,11402924,0,2097
"Asia","Laos","Laos","LAO",11937411,10843570,9861627,9039429,8253784,12884,163531,138277,188784,188784,2.1,6365944,5422024,4478104,2590264,1646344,702424,0,0,0,0,0,2063
"Asia","Malaysia","Malaysia","MYS",25988668,24250566,22531945,20991138,20114506,25445,269268,219396,319140,319140,1.5,16923106,15327406,13731706,10540306,8944606,7348906,4157506,966106,0,0,0,2083
"Asia","Myanmar","Myanmar","MMR",18734733,17092800,15639449,14431336,13647894,22150,219704,176290,263119,263119,1.8,11016704,9701109,8385514,5754324,4438729,3123134,491944,0,0,0,0,2071
"Asia","New Caledonia","New Caledonia","NCL",905048,896387,882999,868974,852688,449,3244,2363,4124,4124,0.5,811448,790828,770208,728968,708348,687728,646488,605248,584628,564008,522768,2226
"Asia","Papua New Guinea","Papua New Guinea","PNG",40631911,40122267,39910047,39631637,39233011,13771,67644,40653,94635,94635,0.2,38286661,37813486,37340311,36393961,35920786,35447611,34501261,33554911,33081736,32608561,31662211,2434
"Asia","Philippines","Philippines","PHL",14960325,14316496,13822210,13271615,12707264,24655,104904,56580,153228,153228,1.2,11174984,10408844,9642704,8110424,7344284,6578144,5045864,3513584,2747444,1981304,449024,2102
"Asia","Singapore","Singapore","SGP",16809,15833,15303,14468,13571,34,173,106,240,240,1.7,11171,9971,8771,6371,5171,3971,1571,0,0,0,0,2076
"Asia","Solomon Isl.","Solomon Isl.","SLB",2762933,2761361,2759216,2753056,2738168,463,1871,963,2779,2779,0.1,2710378,2696483,2682588,2654798,2640903,2627008,2599218,2571428,2557533,2543638,2515848,3005
"Asia","Sri Lanka","Sri Lanka","LKA",2114328,1895920,1752648,1646654,1575628,3768,21151,13767,28536,28536,1.8,1290268,1147588,1004908,719548,576868,434188,148828,0,0,0,0,2075
"Asia","Thailand","Thailand","THA",7316755,6836910,6409676,6100640,5811122,9981,60744,41182,80307,80307,1.3,5008052,4606517,4204982,3401912,3000377,2598842,1795772,992702,591167,189632,0,2092
"Asia","Timor-Leste","Timor-Leste","TLS",133922,105710,89910,81292,75244,600,1957,781,3133,3133,4.2,43914,28249,12584,0,0,0,0,0,0,0,0,2044
"Asia","Vanuatu","Vanuatu","VUT",1158704,1158364,1158339,1157298,1149824,246,700,218,1183,1183,0.1,1137994,1132079,1126164,1114334,1108419,1102504,1090674,1078844,1072929,1067014,1055184,2991
"Asia","Vietnam","Vietnam","VNM",11004916,9856200,8814254,8090451,7528100,13311,134536,108446,160625,160625,2,5921850,5118725,4315600,2709350,1906225,1103100,0,0,0,0,0,2066
