"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"America","Venezuela","Venezuela","VEN",44742607,43541030,42912934,42109122,41429955,24944,148279,99388,197169,148279,0.4,39947165,39205770,38464375,36981585,36240190,35498795,34016005,32533215,31791820,31050425,29567635,2299
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",4010,3335,2840,2436,1859,35,96,28,164,96,4,899,419,0,0,0,0,0,0,0,0,0,2039
"America","Virgin Isl. US","Virgin Isl. US","VIR",9180,8494,8097,7543,6687,54,137,32,242,137,1.8,5317,4632,3947,2577,1892,1207,0,0,0,0,0,2068
"Africa","Angola","Angola","AGO",7064733,6455239,6044153,5575642,5341117,13418,70293,43994,96591,70293,1.2,4638187,4286722,3935257,3232327,2880862,2529397,1826467,1123537,772072,420607,0,2095
"Africa","Benin","Benin","BEN",76776,58085,46640,39039,32026,320,1463,836,2090,1463,3.7,17396,10081,2766,0,0,0,0,0,0,0,0,2041
"Africa","Burundi","Burundi","BDI",104249,75248,63638,57095,55077,309,856,251,1461,856,1.4,46517,42237,37957,29397,25117,20837,12277,3717,0,0,0,2084
"Africa","Cameroon","Cameroon","CMR",23886943,23718002,23545984,23242042,22839759,6817,70641,57279,84002,70641,0.3,22133349,21780144,21426939,20720529,20367324,20014119,19307709,18601299,18248094,17894889,17188479,2343
"Africa","CAR","CAR","CAF",9807930,9527949,9324998,9065439,8853746,7087,47114,33224,61005,47114,0.5,8382606,8147036,7911466,7440326,7204756,6969186,6498046,6026906,5791336,5555766,5084626,2207
"Africa","Comoros","Comoros","COM",86626,86570,86551,86455,82543,65,263,136,390,263,0.3,79913,78598,77283,74653,73338,72023,69393,66763,65448,64133,61503,2333
"Africa","Congo","Congo","COG",24090355,24040864,23945320,23644110,23428171,6995,51689,37980,65399,51689,0.2,22911281,22652836,22394391,21877501,21619056,21360611,20843721,20326831,20068386,19809941,19293051,2473
"Africa","DRC","DRC","COD",131297735,128587236,125604601,121264561,118282874,86690,732153,562240,902066,732153,0.6,110961344,107300579,103639814,96318284,92657519,88996754,81675224,74353694,70692929,67032164,59710634,2181
"Africa","Eq. Guinea","Eq. Guinea","GNQ",2646767,2645611,2641579,2624232,2612152,392,2941,2173,3710,2941,0.1,2582742,2568037,2553332,2523922,2509217,2494512,2465102,2435692,2420987,2406282,2376872,2908
"Africa","Ethiopia","Ethiopia","ETH",3799018,3245460,2824446,2395252,2214219,14529,61036,32558,89514,61036,2.4,1603859,1298679,993499,383139,77959,0,0,0,0,0,0,2056
"Africa","Gabon","Gabon","GAB",24129292,24118619,24101266,24043292,23985301,1902,11595,7866,15324,11595,0,23869351,23811376,23753401,23637451,23579476,23521501,23405551,23289601,23231626,23173651,23057701,4088
"Africa","Gambia","Gambia","GMB",49362,44738,42221,40299,30941,239,566,98,1035,566,1.4,25281,22451,19621,13961,11131,8301,2641,0,0,0,0,2074
"Africa","Ghana","Ghana","GHA",4931885,4747254,4443182,4067673,3345428,24328,109799,62116,157481,109799,2.8,2247438,1698443,1149448,51458,0,0,0,0,0,0,0,2050
"Africa","Guinea","Guinea","GIN",1895309,1500154,1213061,984272,836664,4691,37643,28448,46838,37643,3.6,460234,272019,83804,0,0,0,0,0,0,0,0,2042
"Africa","Guinea Bissau","Guinea Bissau","GNB",398114,345213,322875,300357,272074,668,5078,3768,6387,5078,1.7,221294,195904,170514,119734,94344,68954,18174,0,0,0,0,2073
"Africa","Ivory Coast","Ivory Coast","CIV",7733912,7111018,6299445,5060626,3953930,41298,234522,153578,315466,234522,4.6,1608710,436100,0,0,0,0,0,0,0,0,0,2036
"Africa","Kenya","Kenya","KEN",1199041,1013174,891040,828958,767787,3694,12324,5084,19564,12324,1.5,644547,582927,521307,398067,336447,274827,151587,28347,0,0,0,2082
"Africa","Liberia","Liberia","LBR",8905885,8833776,8653013,8325270,7908391,9507,74471,55838,93105,74471,0.9,7163681,6791326,6418971,5674261,5301906,4929551,4184841,3440131,3067776,2695421,1950711,2126
"Africa","Madagascar","Madagascar","MDG",7024045,6159673,5540745,4891325,4574078,15336,96645,66586,126704,96645,1.9,3607628,3124403,2641178,1674728,1191503,708278,0,0,0,0,0,2067
"Africa","Malawi","Malawi","MWI",113422,91629,70190,47599,38722,641,3147,1891,4404,3147,5.8,7252,0,0,0,0,0,0,0,0,0,0,2032
"Africa","Mauritius","Mauritius","MUS",49577,49047,46948,44455,43483,168,347,18,675,347,0.8,40013,38278,36543,33073,31338,29603,26133,22663,20928,19193,15723,2145
"Africa","Mayotte","Mayotte","MYT",17931,17870,17212,13395,12108,185,511,148,874,511,3.5,6998,4443,1888,0,0,0,0,0,0,0,0,2043
"Africa","Nigeria","Nigeria","NGA",7770147,7541976,7213732,6824527,6197360,17826,101634,66695,136573,101634,1.5,5181020,4672850,4164680,3148340,2640170,2132000,1115660,99320,0,0,0,2080
"Africa","Reunion","Reunion","REU",141822,141748,141653,138068,134435,124,722,480,964,722,0.5,127215,123605,119995,112775,109165,105555,98335,91115,87505,83895,76675,2206
"Africa","Rwanda","Rwanda","RWA",283986,224118,194514,166894,160126,1091,3434,1296,5572,3434,1.9,125786,108616,91446,57106,39936,22766,0,0,0,0,0,2066
"Africa","Senegal","Senegal","SEN",136279,131320,126391,121304,109027,865,1736,41,3431,1736,1.5,91667,82987,74307,56947,48267,39587,22227,4867,0,0,0,2082
"Africa","Sierra Leone","Sierra Leone","SLE",3440270,2931311,2259942,1744174,1414345,13009,84563,59064,110062,84563,4.6,568715,145900,0,0,0,0,0,0,0,0,0,2036
"Africa","South Sudan","South Sudan","SSD",265213,226117,201434,179107,166518,635,3493,2248,4738,3493,1.9,131588,114123,96658,61728,44263,26798,0,0,0,0,0,2067
"Africa","Tanzania","Tanzania","TZA",1431023,1275732,1191090,1117808,1084184,2100,10689,6573,14804,10689,0.9,977294,923849,870404,763514,710069,656624,549734,442844,389399,335954,229064,2121
"Africa","Togo","Togo","TGO",159791,123892,103124,86273,66193,899,3693,1930,5456,3693,4.3,29263,10798,0,0,0,0,0,0,0,0,0,2037
"Africa","Uganda","Uganda","UGA",1878962,1467712,1086505,838634,757680,6810,32878,19529,46226,32878,3.5,428900,264510,100120,0,0,0,0,0,0,0,0,2043
"Africa","Zambia","Zambia","ZMB",177005,139211,113804,94446,80866,696,3294,1931,4658,3294,3.4,47926,31456,14986,0,0,0,0,0,0,0,0,2044
"Asia","Australia","Australia – Queensland","QLD",2054672,1937807,1875949,1817755,1764384,2439,11131,6349,15912,11131,0.6,1653074,1597419,1541764,1430454,1374799,1319144,1207834,1096524,1040869,985214,873904,2178
"Asia","Bangladesh","Bangladesh","BGD",962588,881820,815821,785793,770887,807,4489,2907,6071,4489,0.6,725997,703552,681107,636217,613772,591327,546437,501547,479102,456657,411767,2191
"Asia","Bhutan","Bhutan","BTN",1989664,1925813,1872066,1818263,1801761,1474,7022,4133,9912,7022,0.4,1731541,1696431,1661321,1591101,1555991,1520881,1450661,1380441,1345331,1310221,1240001,2276
"Asia","Brunei","Brunei","BRN",511380,505446,500991,497038,494299,87,668,499,838,668,0.1,487619,484279,480939,474259,470919,467579,460899,454219,450879,447539,440859,2759
"Asia","Cambodia","Cambodia","KHM",4804127,4349066,3863668,3203729,2753495,16323,111024,79030,143017,111024,3.3,1643255,1088135,533015,0,0,0,0,0,0,0,0,2044
