"area_cont","area_ctry","area_name","area_code","proj","for2000","for2010","for2020","d","p","for2030","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","for2110","loss21","yrdis"
"America","El Salvador","El Salvador","SLV","high",129,109,97,1645,1.6,80,64,47,39,31,14,0,0,0,0,0,100,"2078"
"America","French Guiana","French Guiana","GUF","low",8118,8088,8064,1922,0,8045,8026,8007,7997,7988,7968,7949,7940,7930,7911,7891,3,"6215"
"America","French Guiana","French Guiana","GUF","mean",8118,8088,8064,2390,0,8041,8017,7993,7981,7969,7945,7921,7909,7897,7873,7849,3,"5394"
"America","French Guiana","French Guiana","GUF","high",8118,8088,8064,2857,0,8036,8007,7979,7964,7950,7922,7893,7879,7864,7836,7807,3,"4842"
"America","Grenada","Grenada","GRD","low",26,22,19,57,0.3,19,18,17,17,17,16,16,15,15,15,14,43,"2355"
"America","Grenada","Grenada","GRD","mean",26,22,19,264,1.3,17,14,11,10,9,6,3,2,1,0,0,100,"2092"
"America","Grenada","Grenada","GRD","high",26,22,19,470,2.4,14,10,5,3,0,0,0,0,0,0,0,100,"2060"
"America","Guadeloupe","Guadeloupe","GLP","low",80,77,73,237,0.3,71,69,66,65,64,62,59,58,57,54,52,32,"2329"
"America","Guadeloupe","Guadeloupe","GLP","mean",80,77,73,370,0.5,70,66,62,61,59,55,51,49,48,44,40,45,"2218"
"America","Guadeloupe","Guadeloupe","GLP","high",80,77,73,502,0.7,68,63,58,56,53,48,43,41,38,33,28,58,"2166"
"America","Guatemala","Guatemala","GTM","low",3449,2702,2275,33295,1.3,1942,1610,1277,1110,944,611,278,111,0,0,0,100,"2088"
"America","Guatemala","Guatemala","GTM","mean",3449,2702,2275,42648,1.7,1849,1422,996,783,570,143,0,0,0,0,0,100,"2073"
"America","Guatemala","Guatemala","GTM","high",3449,2702,2275,52000,2.1,1755,1235,715,455,195,0,0,0,0,0,0,100,"2063"
"America","Guyana","Guyana","GUY","low",18618,18489,18366,8474,0,18281,18196,18111,18069,18027,17942,17857,17815,17772,17688,17603,5,"4187"
