"area_cont","area_ctry","area_name","area_code","proj","C2020","C2030","C2040","C2050","C2060","C2070","C2080","C2090","C2100","C2110"
"America","Paraguay","Paraguay","PRY","high",17284,27085,54672,58591,58591,58591,58591,58591,58591,58591
"America","Peru","Peru","PER","low",111402,136566,267447,399309,532362,666133,800546,936175,1073485,1212392
"America","Peru","Peru","PER","mean",111402,159907,314567,470473,627961,786226,946086,1108250,1272433,1438224
"America","Peru","Peru","PER","high",111402,183236,361680,542065,723857,907229,1093544,1282550,1473744,1666647
"America","Puerto Rico","Puerto Rico","PRI","low",1851,643,1442,2298,3184,4066,4952,5859,6778,7718
"America","Puerto Rico","Puerto Rico","PRI","mean",1851,1744,3810,5918,8119,10421,12835,15337,17905,19797
"America","Puerto Rico","Puerto Rico","PRI","high",1851,2926,6241,9778,13580,17581,19797,19797,19797,19797
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","low",9,1,3,6,8,11,15,18,21,25
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","mean",9,5,14,23,33,44,55,66,78,91
"America","Saint Kitts and N.","Saint Kitts and N.","KNA","high",9,10,26,43,61,81,102,124,146,168
"America","Saint Lucia","Saint Lucia","LCA","low",64,27,56,86,117,150,182,214,246,280
"America","Saint Lucia","Saint Lucia","LCA","mean",64,59,124,192,260,333,410,488,568,648
"America","Saint Lucia","Saint Lucia","LCA","high",64,93,195,302,418,538,660,787,918,1051
"America","Saint Martin","Saint Martin","MAF","low",5,1,2,3,3,4,5,6,6,6
"America","Saint Martin","Saint Martin","MAF","mean",5,5,6,6,6,6,6,6,6,6
"America","Saint Martin","Saint Martin","MAF","high",5,6,6,6,6,6,6,6,6,6
"America","Saint Vincent","Saint Vincent","VCT","low",20,9,20,31,41,52,61,71,81,91
"America","Saint Vincent","Saint Vincent","VCT","mean",20,20,41,60,79,99,120,141,162,185
"America","Saint Vincent","Saint Vincent","VCT","high",20,31,60,89,120,151,185,220,255,293
"America","Sint Maarten","Sint Maarten","SXM","low",2,0,1,1,2,2,3,3,3,3
"America","Sint Maarten","Sint Maarten","SXM","mean",2,2,3,3,3,3,3,3,3,3
"America","Sint Maarten","Sint Maarten","SXM","high",2,3,3,3,3,3,3,3,3,3
"America","Suriname","Suriname","SUR","low",11704,12426,23673,34746,45433,55764,66291,77038,87958,99020
"America","Suriname","Suriname","SUR","mean",11704,15637,29981,43842,57109,70701,84601,98765,113033,127387
"America","Suriname","Suriname","SUR","high",11704,18827,36163,52617,69066,86033,103333,120800,138369,156044
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","low",1231,172,364,560,766,978,1199,1425,1655,1889
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","mean",1231,1237,2696,4340,6165,8128,10200,12330,14505,16705
"America","Trinidad and Tobago","Trinidad and Tobago","TTO","high",1231,2448,5554,9180,13091,17122,20549,25533,25533,25533
"America","Venezuela","Venezuela","VEN","low",101927,69956,147451,230446,319647,415147,516464,622517,731417,842928
"America","Venezuela","Venezuela","VEN","mean",101927,107296,229052,364276,513123,672242,837485,1006744,1180325,1357021
"America","Venezuela","Venezuela","VEN","high",101927,146152,316674,511447,724300,946822,1176508,1411859,1650765,1892223
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","low",34,8,17,28,40,52,64,72,72,72
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","mean",34,33,72,72,72,72,72,72,72,72
"America","Virgin Isl. UK","Virgin Isl. UK","VGB","high",34,62,72,72,72,72,72,72,72,72
"America","Virgin Isl. US","Virgin Isl. US","VIR","low",54,11,23,36,48,60,73,87,101,116
"America","Virgin Isl. US","Virgin Isl. US","VIR","mean",54,51,109,170,225,269,269,269,269,269
"America","Virgin Isl. US","Virgin Isl. US","VIR","high",54,95,200,269,269,269,269,269,269,269
"Africa","Angola","Angola","AGO","low",50739,32351,67499,104682,142630,181052,220013,259430,299338,340502
"Africa","Angola","Angola","AGO","mean",50739,52937,112054,173069,235388,298894,365560,440316,493217,493217
"Africa","Angola","Angola","AGO","high",50739,74679,157607,243089,331394,429821,493217,493217,493217,493217
"Africa","Benin","Benin","BEN","low",157,85,184,311,517,517,517,517,517,517
"Africa","Benin","Benin","BEN","mean",157,159,424,517,517,517,517,517,517,517
"Africa","Benin","Benin","BEN","high",157,240,517,517,517,517,517,517,517,517
"Africa","Burundi","Burundi","BDI","low",318,80,177,299,449,615,788,966,1146,1329
"Africa","Burundi","Burundi","BDI","mean",318,355,933,1559,2216,2886,3316,3878,3878,3878
"Africa","Burundi","Burundi","BDI","high",318,757,1828,2973,3878,3878,3878,3878,3878,3878
"Africa","Cameroon","Cameroon","CMR","low",57161,48818,104804,164722,228357,294513,362162,430871,501026,573382
"Africa","Cameroon","Cameroon","CMR","mean",57161,61377,132303,208870,290031,373496,458714,546567,637848,731691
"Africa","Cameroon","Cameroon","CMR","high",57161,74289,160600,254613,353029,454024,558674,668005,780765,896938
"Africa","CAR","CAR","CAF","low",42132,35035,70507,105735,141003,176638,212863,249758,287392,325929
"Africa","CAR","CAR","CAF","mean",42132,49961,99960,150013,200920,253122,306863,362503,420044,479375
"Africa","CAR","CAR","CAF","high",42132,64725,129422,194990,262632,333000,406595,483213,562476,644227
"Africa","Comoros","Comoros","COM","low",91,40,82,128,174,217,258,303,351,398
"Africa","Comoros","Comoros","COM","mean",91,80,168,250,338,428,514,602,693,782
"Africa","Comoros","Comoros","COM","high",91,122,247,379,508,640,772,912,1060,1214
"Africa","Congo","Congo","COG","low",36864,43101,78624,116235,158028,202597,248437,295617,343563,393067
"Africa","Congo","Congo","COG","mean",36864,55629,105366,161652,222716,286348,351680,419455,488487,559391
"Africa","Congo","Congo","COG","high",36864,68518,134323,210069,290282,373617,460067,549070,641509,736743
"Africa","DRC","DRC","COD","low",614823,556889,1158415,1794984,2459662,3155609,3885148,4651258,5446386,6263463
"Africa","DRC","DRC","COD","mean",614823,734117,1539813,2396360,3305004,4272479,5296020,6358823,7444442,8539625
"Africa","DRC","DRC","COD","high",614823,915271,1931294,3023355,4201019,5464257,6783030,8127521,9480473,10845205
"Africa","Eq. Guinea","Eq. Guinea","GNQ","low",2084,2314,4862,7540,10188,12871,15594,18384,21248,24177
"Africa","Eq. Guinea","Eq. Guinea","GNQ","mean",2084,3173,6766,10349,13989,17728,21596,25586,29644,33745
"Africa","Eq. Guinea","Eq. Guinea","GNQ","high",2084,4080,8636,13199,17901,22812,27890,33046,38274,43563
"Africa","Ethiopia","Ethiopia","ETH","low",43741,29541,58771,88586,119129,151003,185002,214296,214296,214296
"Africa","Ethiopia","Ethiopia","ETH","mean",43741,55082,111380,171937,214296,214296,214296,214296,214296,214296
"Africa","Ethiopia","Ethiopia","ETH","high",43741,81041,167663,214296,214296,214296,214296,214296,214296,214296
"Africa","Gabon","Gabon","GAB","low",10283,9177,17578,26298,35257,44506,54056,63773,73566,83413
