area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Dominican Rep.,Dominican Rep.,DOM,high,9362589,13989138,21239676,28652462,43884586,51773199,59965815,77754143,77754143,77754143,77754143,77754143,77754143,1,3
America,Ecuador,Ecuador,ECU,low,41311506,23447432,36175388,48964821,74583584,87589686,100738728,127251290,154043232,167637147,181405122,209349003,237763637,1,1
America,Ecuador,Ecuador,ECU,mean,41311506,39730464,60680863,81799109,125052786,146946823,169186819,214873120,261756110,285533434,309541139,358346760,408349200,1,2
America,Ecuador,Ecuador,ECU,high,41311506,56076943,85425874,115471643,176836058,208608470,241000211,307107426,375174181,410091187,445557398,517921409,592188511,1,3
America,El Salvador,El Salvador,SLV,low,897603,618633,925199,1226783,1825982,2124082,2422863,3026207,3629373,3929883,4231642,4833103,5431066,1,1
America,El Salvador,El Salvador,SLV,mean,897603,945183,1406524,1864977,2783583,3246353,3708013,4631555,5547963,6004669,6460730,7288167,7288167,1,2
America,El Salvador,El Salvador,SLV,high,897603,1266909,1885707,2503074,3749666,4372030,4992775,6225184,7288167,7288167,7288167,7288167,7288167,1,3
America,French Guiana,French Guiana,GUF,low,2412714,2293380,3339565,4342213,6205893,7148927,8110342,10065318,12026579,13001569,13982018,15954127,17932020,1,1
America,French Guiana,French Guiana,GUF,mean,2412714,2805536,4077926,5254872,7589087,8797312,10013988,12450617,14887359,16117836,17349147,19823959,22330705,1,2
America,French Guiana,French Guiana,GUF,high,2412714,3311843,4778552,6153898,9004736,10461996,11921631,14832321,17771203,19250952,20743209,23757447,26816803,1,3
America,Grenada,Grenada,GRD,low,202056,40539,62311,84895,131488,154882,178576,226164,273888,297889,322306,370783,419826,1,1
America,Grenada,Grenada,GRD,mean,202056,208754,319786,432946,669254,788715,905008,1141176,1381015,1381015,1686453,1686453,1686453,1,2
America,Grenada,Grenada,GRD,high,202056,382677,590462,802936,1222356,1381015,1686453,1686453,1686453,1686453,1686453,1686453,1686453,1,3
America,Guadeloupe,Guadeloupe,GLP,low,204384,177808,261182,340679,496689,570409,641244,784012,934799,1014370,1096131,1263733,1439204,1,1
America,Guadeloupe,Guadeloupe,GLP,mean,204384,270948,393881,515180,738280,852391,973509,1230916,1505465,1651183,1802901,2121962,2458198,1,2
America,Guadeloupe,Guadeloupe,GLP,high,204384,358822,523255,674416,991039,1164847,1345587,1736464,2168072,2396462,2631162,3123907,3647157,1,3
America,Guatemala,Guatemala,GTM,low,37111255,29178002,44327858,59601595,90120459,105300005,120355392,150085107,179460488,194464319,204822634,204822634,204822634,1,1
America,Guatemala,Guatemala,GTM,mean,37111255,37655897,57197802,76777229,115635196,134762732,153728255,191569724,204822634,204822634,204822634,204822634,204822634,1,2
America,Guatemala,Guatemala,GTM,high,37111255,46213985,70075711,93879480,140770089,163761855,186829694,204822634,204822634,204822634,204822634,204822634,204822634,1,3
America,Guyana,Guyana,GUY,low,10937293,10019852,14224503,18371889,26872677,31056074,35239156,43674711,52240791,56574263,60924215,69647677,78367522,1,1
America,Guyana,Guyana,GUY,mean,10937293,13868737,19933675,26142922,38350809,44504184,50739021,63382526,76082193,82463991,88907368,101876114,114946049,1,2
America,Guyana,Guyana,GUY,high,10937293,17647623,25779221,33770919,49979130,58276787,66605541,83325429,100313626,108886332,117501016,134813929,152231999,1,3
