area_cont,area_ctry,area_name,area_code,proj,for2000,for2005,for2010,for2015,for2020,d_se,d_mean,d_min,d_max,andef,pdef,for2030,for2035,for2040,for2050,for2055,for2060,for2070,for2080,for2085,for2090,for2100,for2110,yrdis,id_cont,id_d
America,Brazil,Brazil – Piaui,PI,low,104472,88243,74304,61747,54637,571,1967,846,3087,846,1.2,46177,41947,37717,29257,25027,20797,3888,0,0,0,0,0,2072,1,1
America,Brazil,Brazil – Piaui,PI,mean,104472,88243,74304,61747,54637,571,1967,846,3087,1967,3,34967,25132,15297,0,0,0,0,0,0,0,0,0,2047,1,2
America,Brazil,Brazil – Piaui,PI,high,104472,88243,74304,61747,54637,571,1967,846,3087,3087,5.2,23767,8332,0,0,0,0,0,0,0,0,0,0,2038,1,3
America,Brazil,Brazil – Rio de Janeiro,RJ,low,819541,763884,735882,699959,694407,1532,4143,1141,7146,1141,0.2,682997,677292,671587,660177,654472,648767,628909,599936,581704,562534,522007,462663,2145,1,1
America,Brazil,Brazil – Rio de Janeiro,RJ,mean,819541,763884,735882,699959,694407,1532,4143,1141,7146,4143,0.6,652977,632262,611547,559260,516834,471589,361703,209372,124260,39148,0,0,2093,1,2
America,Brazil,Brazil – Rio de Janeiro,RJ,high,819541,763884,735882,699959,694407,1532,4143,1141,7146,7146,1,622947,587217,544138,405308,313883,202602,0,0,0,0,0,0,2069,1,3
America,Brazil,Brazil – Rio Grande do Norte,RN,low,30540,26745,24750,23005,21638,59,312,195,428,195,0.8,19688,18713,17738,15788,14813,13838,3439,0,0,0,0,0,2073,1,1
America,Brazil,Brazil – Rio Grande do Norte,RN,mean,30540,26745,24750,23005,21638,59,312,195,428,312,1.3,18518,16958,15398,1421,0,0,0,0,0,0,0,0,2051,1,2
America,Brazil,Brazil – Rio Grande do Norte,RN,high,30540,26745,24750,23005,21638,59,312,195,428,428,1.9,17358,15218,5728,0,0,0,0,0,0,0,0,0,2042,1,3
America,Brazil,Brazil – Rio Grande do Sul,RS,low,2533050,2379768,2213848,2121504,2073850,2348,14004,9402,18607,9402,0.4,1979830,1932820,1885810,1791790,1744780,1697770,1595302,1483719,1424182,1363707,1240570,1098617,2152,1,1
America,Brazil,Brazil – Rio Grande do Sul,RS,mean,2533050,2379768,2213848,2121504,2073850,2348,14004,9402,18607,14004,0.7,1933810,1863790,1793770,1642874,1551142,1456592,1248096,997155,862738,728321,448564,98400,2112,1,2
America,Brazil,Brazil – Rio Grande do Sul,RS,high,2533050,2379768,2213848,2121504,2073850,2348,14004,9402,18607,18607,0.9,1887780,1794745,1694361,1440921,1292191,1123605,750847,353615,137516,0,0,0,2088,1,3
America,Brazil,Brazil – Rondonia,RO,low,16500312,14727169,13800306,13190813,12435992,11227,136426,114420,158431,114420,0.9,11291792,10719692,10147592,9003392,8431292,7859192,6706544,5544780,4960154,4374589,3201272,2009138,2127,1,1
America,Brazil,Brazil – Rondonia,RO,mean,16500312,14727169,13800306,13190813,12435992,11227,136426,114420,158431,136426,1,11071732,10389602,9707472,8332355,7628513,6921854,5489138,4013976,3267449,2520923,1016946,0,2107,1,2
America,Brazil,Brazil – Rondonia,RO,high,16500312,14727169,13800306,13190813,12435992,11227,136426,114420,158431,158431,1.2,10851682,10059527,9260022,7608343,6760493,5892787,4121788,2326316,1411097,458990,0,0,2093,1,3
America,Brazil,Brazil – Roraima,RR,low,16714804,16413642,16228110,16077545,15592631,21902,63551,20622,106479,20622,0.1,15386411,15283301,15180191,14973971,14870861,14767751,14553083,14329300,14213663,14097088,13861751,13607597,2241,1,1
America,Brazil,Brazil – Roraima,RR,mean,16714804,16413642,16228110,16077545,15592631,21902,63551,20622,106479,63551,0.4,14957121,14639366,14321611,13675244,13335778,12993493,12289527,11543116,11160964,10778812,10003585,9157951,2161,1,2
America,Brazil,Brazil – Roraima,RR,high,16714804,16413642,16228110,16077545,15592631,21902,63551,20622,106479,106479,0.7,14527841,13995446,13455702,12323542,11735452,11127506,9876027,8600075,7944616,7252269,5545210,2868861,2121,1,3
America,Brazil,Brazil – Santa Catarina,SC,low,2933889,2651378,2484865,2402215,2354689,1626,13020,9833,16208,9833,0.4,2256359,2207194,2158029,2059699,2010534,1961369,1854591,1738698,1677006,1614376,1486929,1340665,2155,1,1
America,Brazil,Brazil – Santa Catarina,SC,mean,2933889,2651378,2484865,2402215,2354689,1626,13020,9833,16208,13020,0.5,2224489,2159389,2094289,1953232,1866421,1776791,1578135,1337034,1207537,1078040,808123,467799,2119,1,2
America,Brazil,Brazil – Santa Catarina,SC,high,2933889,2651378,2484865,2402215,2354689,1626,13020,9833,16208,16208,0.7,2192609,2111569,2023179,1793730,1656995,1500404,1151635,778393,574289,333297,0,0,2096,1,3
America,Brazil,Brazil – Sao Paulo,SP,low,3029457,2855477,2781321,2682038,2652706,3026,12862,6930,18794,6930,0.3,2583406,2548756,2514106,2444806,2410156,2375506,2297757,2210894,2163717,2115602,2017186,1899952,2163,1,1
America,Brazil,Brazil – Sao Paulo,SP,mean,3029457,2855477,2781321,2682038,2652706,3026,12862,6930,18794,12862,0.5,2524086,2459776,2395466,2255989,2169967,2081127,1884051,1644530,1515823,1387116,1118779,780035,2122,1,2
America,Brazil,Brazil – Sao Paulo,SP,high,3029457,2855477,2781321,2682038,2652706,3026,12862,6930,18794,18794,0.7,2464766,2370796,2269476,2014167,1864501,1694981,1320352,921250,704216,450294,0,0,2097,1,3
America,Brazil,Brazil – Sergipe,SE,low,73520,66100,60986,56835,54430,220,656,226,1086,226,0.4,52170,51040,49910,47650,46520,45390,34681,14858,1201,0,0,0,2086,1,1
America,Brazil,Brazil – Sergipe,SE,mean,73520,66100,60986,56835,54430,220,656,226,1086,656,1.1,47870,44590,41310,23893,0,0,0,0,0,0,0,0,2055,1,2
America,Brazil,Brazil – Sergipe,SE,high,73520,66100,60986,56835,54430,220,656,226,1086,1086,1.9,43570,38140,25360,0,0,0,0,0,0,0,0,0,2044,1,3
America,Brazil,Brazil – Tocantins,TO,low,1730508,1546890,1341400,1135858,953634,8486,38777,22144,55410,22144,1.8,732194,621474,510754,289314,178594,67874,0,0,0,0,0,0,2064,1,1
America,Brazil,Brazil – Tocantins,TO,mean,1730508,1546890,1341400,1135858,953634,8486,38777,22144,55410,38777,3.4,565864,371979,178094,0,0,0,0,0,0,0,0,0,2045,1,2
America,Brazil,Brazil – Tocantins,TO,high,1730508,1546890,1341400,1135858,953634,8486,38777,22144,55410,55410,5.2,399534,122484,0,0,0,0,0,0,0,0,0,0,2038,1,3
America,Colombia,Colombia,COL,low,70048687,68133144,66802262,65330122,64254235,21568,254796,212523,297069,212523,0.3,62129005,61066390,60003775,57878545,56815930,55753315,53628085,51502855,50440240,49377625,47252395,45127165,2322,1,1
America,Colombia,Colombia,COL,mean,70048687,68133144,66802262,65330122,64254235,21568,254796,212523,297069,254796,0.4,61706275,60432295,59158315,56610355,55336375,54062395,51514435,48966475,47692495,46418515,43870555,41322595,2272,1,2
America,Colombia,Colombia,COL,high,70048687,68133144,66802262,65330122,64254235,21568,254796,212523,297069,297069,0.5,61283545,59798200,58312855,55342165,53856820,52371475,49400785,46430095,44944750,43459405,40488715,37518025,2236,1,3
America,Costa Rica,Costa Rica,CRI,low,2411733,2339438,2276723,2171066,2131563,2667,14520,9291,19748,9291,0.4,2038653,1992198,1945743,1852833,1806378,1759923,1667013,1574103,1527648,1481193,1388283,1295373,2249,1,1
America,Costa Rica,Costa Rica,CRI,mean,2411733,2339438,2276723,2171066,2131563,2667,14520,9291,19748,14520,0.7,1986363,1913763,1841163,1695963,1623363,1550763,1405563,1260363,1187763,1115163,969963,824763,2166,1,2
America,Costa Rica,Costa Rica,CRI,high,2411733,2339438,2276723,2171066,2131563,2667,14520,9291,19748,19748,0.9,1934083,1835343,1736603,1539123,1440383,1341643,1144163,946683,847943,749203,551723,354243,2127,1,3
America,Cuba,Cuba,CUB,low,1520507,1396383,1297060,1242821,1155013,3245,14086,7725,20446,7725,0.6,1077763,1039138,1000513,923263,884638,846013,768763,691513,652888,614263,537013,459763,2169,1,1
America,Cuba,Cuba,CUB,mean,1520507,1396383,1297060,1242821,1155013,3245,14086,7725,20446,14086,1.1,1014153,943723,873293,732433,662003,591573,450713,309853,239423,168993,28133,0,2101,1,2
America,Cuba,Cuba,CUB,high,1520507,1396383,1297060,1242821,1155013,3245,14086,7725,20446,20446,1.7,950553,848323,746093,541633,439403,337173,132713,0,0,0,0,0,2076,1,3
America,Dominica,Dominica,DMA,low,70662,70528,69931,69044,67410,66,254,126,383,126,0.2,66150,65520,64890,63630,63000,62370,61110,59850,59220,58590,57330,56070,2555,1,1
America,Dominica,Dominica,DMA,mean,70662,70528,69931,69044,67410,66,254,126,383,254,0.4,64870,63600,62330,59790,58520,57250,54710,52170,50900,49630,47090,44550,2285,1,2
America,Dominica,Dominica,DMA,high,70662,70528,69931,69044,67410,66,254,126,383,383,0.6,63580,61665,59750,55920,54005,52090,48260,44430,42515,40600,36770,32940,2196,1,3
America,Dominican Rep.,Dominican Rep.,DOM,low,1254328,1109296,992770,905233,871148,2653,12164,6964,17364,6964,0.7,801508,766688,731868,662228,627408,592588,522948,453308,418488,383668,314028,244388,2145,1,1
America,Dominican Rep.,Dominican Rep.,DOM,mean,1254328,1109296,992770,905233,871148,2653,12164,6964,17364,12164,1.3,749508,688688,627868,506228,445408,384588,262948,141308,80488,19668,0,0,2091,1,2
America,Dominican Rep.,Dominican Rep.,DOM,high,1254328,1109296,992770,905233,871148,2653,12164,6964,17364,17364,1.9,697508,610688,523868,350228,263408,176588,2948,0,0,0,0,0,2070,1,3
America,Ecuador,Ecuador,ECU,low,15459965,15157761,14902851,14614637,14390928,10184,51193,31232,71154,31232,0.2,14078608,13922448,13766288,13453968,13297808,13141648,12829328,12517008,12360848,12204688,11892368,11580048,2480,1,1
