area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Mexico,Mexico,MEX,low,46535524,35901787,54046633,72580246,110552251,129750392,148846162,186634136,224700986,244484982,266418492,283494423,283494423,1,1
America,Mexico,Mexico,MEX,mean,46535524,47313197,71621978,96494179,146900834,171799262,196664200,247866312,283494423,283494423,283494423,283494423,283494423,1,2
America,Mexico,Mexico,MEX,high,46535524,58930030,89504734,120738869,182775798,213731287,245740234,283494423,283494423,283494423,283494423,283494423,283494423,1,3
America,Montserrat,Montserrat,MSR,low,1597,752,1140,1497,2217,2518,2842,3537,4343,4756,5164,5975,6817,1,1
America,Montserrat,Montserrat,MSR,mean,1597,1716,2518,3287,5164,6114,7099,9118,11089,12114,13135,15204,17309,1,2
America,Montserrat,Montserrat,MSR,high,1597,2615,3930,5418,8540,10104,11673,14911,18132,19706,21334,24719,28115,1,3
America,Nicaragua,Nicaragua,NIC,low,41399382,27338874,41863813,56230881,84640078,98547013,112724239,143495249,178302244,198548083,220484838,231755050,231755050,1,1
America,Nicaragua,Nicaragua,NIC,mean,41399382,50975272,76866291,102340332,158452410,192791164,231755050,231755050,231755050,231755050,231755050,231755050,231755050,1,2
America,Nicaragua,Nicaragua,NIC,high,41399382,74292236,111369592,152421315,231755050,231755050,231755050,231755050,231755050,231755050,231755050,231755050,231755050,1,3
America,Panama,Panama,PAN,low,11736007,10771959,15764330,20745146,30765990,35790871,40836251,51015706,61230942,66364054,71530647,81955602,92565300,1,1
America,Panama,Panama,PAN,mean,11736007,14579159,21457104,28372059,42278855,49310651,56353297,70531691,84950819,92294809,99755364,115046520,130823867,1,2
America,Panama,Panama,PAN,high,11736007,18367098,27169362,36021266,53915139,62921657,72001748,90501721,109706292,119597980,129701956,150519858,172135368,1,3
America,Paraguay,Paraguay,PRY,low,17284388,10121924,15256291,20394769,30683149,35930484,41170652,51533548,58591444,58591444,58591444,58591444,58591444,1,1
America,Paraguay,Paraguay,PRY,mean,17284388,18613222,27981768,37532741,56447940,58591444,58591444,58591444,58591444,58591444,58591444,58591444,58591444,1,2
America,Paraguay,Paraguay,PRY,high,17284388,27085497,40951576,54672424,58591444,58591444,58591444,58591444,58591444,58591444,58591444,58591444,58591444,1,3
America,Peru,Peru,PER,low,111401929,136565602,201872592,267447416,399308979,465642730,532361715,666133343,800546128,868178541,936174819,1073485264,1212391527,1,1
America,Peru,Peru,PER,mean,111401929,159907222,236981982,314567053,470473014,549135213,627960689,786225707,946085749,1026871410,1108249637,1272433380,1438223859,1,2
America,Peru,Peru,PER,high,111401929,183236364,272226681,361680123,542065281,632829383,723857291,907229077,1093544479,1187774984,1282549612,1473744278,1666647147,1,3
America,Puerto Rico,Puerto Rico,PRI,low,1850840,642600,1029179,1441529,2298194,2739701,3184136,4065542,4951617,5403645,5858729,6777676,7718126,1,1
America,Puerto Rico,Puerto Rico,PRI,mean,1850840,1744343,2768120,3809574,5918343,7004721,8119169,10421002,12835299,14079692,15337474,17905311,19797442,1,2
America,Puerto Rico,Puerto Rico,PRI,high,1850840,2926062,4562832,6240986,9778009,11646128,13580034,17581439,19797442,19797442,19797442,19797442,19797442,1,3
America,Saint Kitts and N.,Saint Kitts and N.,KNA,low,8525,1265,2182,3166,5779,7008,8395,11334,14686,16372,18104,21458,24720,1,1
America,Saint Kitts and N.,Saint Kitts and N.,KNA,mean,8525,5324,9043,13586,23082,27898,33099,43640,54589,60301,66149,78146,90665,1,2
America,Saint Kitts and N.,Saint Kitts and N.,KNA,high,8525,10289,18104,25876,43004,51918,61330,81027,101908,112604,123583,145503,167534,1,3
America,Saint Lucia,Saint Lucia,LCA,low,63547,27328,41574,55996,86102,101548,117429,149839,182054,198062,214098,246403,280194,1,1
America,Saint Lucia,Saint Lucia,LCA,mean,63547,59040,91021,124202,192212,225740,260380,333487,409922,448891,488252,567569,648162,1,2
America,Saint Lucia,Saint Lucia,LCA,high,63547,92588,143758,195464,301862,359046,417555,537778,660211,723493,787309,917920,1051422,1,3
America,Saint Martin,Saint Martin,MAF,low,4605,952,1442,1922,2690,3034,3499,4270,5084,5436,5800,6430,6430,1,1
America,Saint Martin,Saint Martin,MAF,mean,4605,5084,6430,6430,6430,6430,6430,6430,6430,6430,6430,6430,6430,1,2
America,Saint Martin,Saint Martin,MAF,high,4605,6430,6430,6430,6430,6430,6430,6430,6430,6430,6430,6430,6430,1,3
America,Saint Vincent,Saint Vincent,VCT,low,20391,9411,14915,20394,31366,36450,41398,51504,61284,66160,71061,80861,90831,1,1
America,Saint Vincent,Saint Vincent,VCT,mean,20391,19986,30802,40655,60230,69816,79404,99030,119607,129896,140540,162458,185115,1,2
America,Saint Vincent,Saint Vincent,VCT,high,20391,30802,45582,60230,89123,104094,119607,151255,185115,202316,219704,254531,293166,1,3
America,Sint Maarten,Sint Maarten,SXM,low,2131,360,578,753,1192,1384,1647,2152,2522,2522,2522,2522,2522,1,1
America,Sint Maarten,Sint Maarten,SXM,mean,2131,2152,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,1,2
America,Sint Maarten,Sint Maarten,SXM,high,2131,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,1,3
America,Suriname,Suriname,SUR,low,11704493,12426318,18094056,23673146,34746208,40152655,45433414,55763905,66290559,71638480,77037878,87957845,99019960,1,1
America,Suriname,Suriname,SUR,mean,11704493,15637322,22816590,29981403,43841501,50473065,57108672,70701297,84600965,91669390,98764559,113033052,127386534,1,2
America,Suriname,Suriname,SUR,high,11704493,18826551,27558378,36162793,52616554,60748124,69065778,86032608,103333027,112049823,120799977,138369010,156043657,1,3
