area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,id_cont,id_d
America,Dominica,Dominica,DMA,low,79977,23575,38690,53972,83218,97948,113275,144631,177895,195518,213743,250769,1,1
America,Dominica,Dominica,DMA,mean,79977,64873,99236,136211,217301,261036,306169,400605,498287,547978,598457,698077,1,2
America,Dominica,Dominica,DMA,high,79977,104765,164370,230639,375116,451206,528752,686776,844131,923891,1005075,1171378,1,3
America,Dominican Rep.,Dominican Rep.,DOM,low,4050199,2374357,3717624,5109893,8042648,9562514,11133898,14420043,17938588,19799360,21768653,26166429,1,1
America,Dominican Rep.,Dominican Rep.,DOM,mean,4050199,4024791,6307708,8716990,13867091,16652481,19603005,26452264,31511617,31511617,31511617,31511617,1,2
America,Dominican Rep.,Dominican Rep.,DOM,high,4050199,5742904,9057377,12579609,20464935,25154856,30614595,31511617,31511617,31511617,31511617,31511617,1,3
America,Ecuador,Ecuador,ECU,low,39978373,21559835,35005499,49656171,80670067,96675706,113065479,147082039,182651960,200941851,219599027,257698852,1,1
America,Ecuador,Ecuador,ECU,mean,39978373,32520171,53220362,75063548,120865001,144997787,169873289,221765247,275901321,303713942,332191121,391081136,1,2
America,Ecuador,Ecuador,ECU,high,39978373,44387484,72281596,101420216,163560918,196567708,230625806,301332509,376065459,414966214,454366680,534221587,1,3
America,El Salvador,El Salvador,SLV,low,466989,390664,598506,806856,1219351,1419451,1617593,2000656,2346070,2502362,2651766,2959769,1,1
America,El Salvador,El Salvador,SLV,mean,466989,556864,848552,1138591,1695668,1962665,2212456,2650809,3080859,3080859,3080859,3080859,1,2
America,El Salvador,El Salvador,SLV,high,466989,722625,1096835,1458198,2143528,2439392,2709000,3080859,3080859,3080859,3080859,3080859,1,3
America,French Guiana,French Guiana,GUF,low,3108826,3820556,5162051,6497635,9241760,10616715,11995650,14803195,17635497,19097262,20603240,23725091,1,1
America,French Guiana,French Guiana,GUF,mean,3108826,4355685,5914704,7539969,10822159,12463783,14135873,17511468,21053191,22909545,24814182,28768888,1,2
America,French Guiana,French Guiana,GUF,high,3108826,4856212,6697610,8587277,12400884,14345487,16294546,20338537,24671772,26944062,29271257,34063657,1,3
America,Grenada,Grenada,GRD,low,60254,7545,12684,18077,29797,35654,41535,53573,65796,72113,78305,90863,1,1
America,Grenada,Grenada,GRD,mean,60254,55293,87194,120962,196375,237663,280104,368633,461834,512780,512780,512780,1,2
America,Grenada,Grenada,GRD,high,60254,107535,173301,247019,407274,512780,512780,512780,512780,512780,512780,512780,1,3
America,Guadeloupe,Guadeloupe,GLP,low,79712,49153,73770,95628,143987,170126,193935,238310,278733,297836,317585,358215,1,1
America,Guadeloupe,Guadeloupe,GLP,mean,79712,82341,119642,164051,241253,275263,308093,376852,450191,487869,526198,608697,1,2
America,Guadeloupe,Guadeloupe,GLP,high,79712,112276,174031,227894,323761,372451,423224,530313,649178,715709,788039,955083,1,3
America,Guatemala,Guatemala,GTM,low,17002384,15039859,23682136,32823638,52369138,62804276,73708096,97313059,117903897,117903897,117903897,117903897,1,1
America,Guatemala,Guatemala,GTM,mean,17002384,19108576,30211974,41948441,67505720,81407275,96273049,117903897,117903897,117903897,117903897,117903897,1,2
America,Guatemala,Guatemala,GTM,high,17002384,23309744,36937239,51511097,83713086,101743987,117903897,117903897,117903897,117903897,117903897,117903897,1,3
America,Guyana,Guyana,GUY,low,14196067,20519421,29133293,35951784,49114565,55825524,62669449,76661908,90813384,97999635,105290245,120046150,1,1
America,Guyana,Guyana,GUY,mean,14196067,26593481,36101137,44842868,62981358,72331750,81770343,100945862,120690863,130625591,140639927,160791618,1,2
America,Guyana,Guyana,GUY,high,14196067,31683648,42765183,53992187,77285376,89173927,101270146,126057906,151195325,163860478,176584984,202054534,1,3
America,Haiti,Haiti,HTI,low,934896,846071,1249858,1664887,2556741,2725654,2725654,2725654,2725654,2725654,2725654,2725654,1,1
America,Haiti,Haiti,HTI,mean,934896,1086765,1611236,2183988,2725654,2725654,2725654,2725654,2725654,2725654,2725654,2725654,1,2
America,Haiti,Haiti,HTI,high,934896,1315146,1992731,2678483,2725654,2725654,2725654,2725654,2725654,2725654,2725654,2725654,1,3
America,Honduras,Honduras,HND,low,18690070,15926476,24465336,32916532,49351931,57323297,65120264,80862441,98730762,109556313,121483442,128616359,1,1
America,Honduras,Honduras,HND,mean,18690070,21161588,32225188,43095636,63858303,74037244,84567886,110253240,128616359,128616359,128616359,128616359,1,2
America,Honduras,Honduras,HND,high,18690070,26368291,39890069,52935785,78245554,91906536,108369330,128616359,128616359,128616359,128616359,128616359,1,3
America,Jamaica,Jamaica,JAM,low,987086,572108,870445,1174483,1819082,2155239,2496311,3194927,3910720,4273403,4637324,5376059,1,1
America,Jamaica,Jamaica,JAM,mean,987086,998133,1535649,2103404,3290878,3904142,4525622,5797323,7140148,7844964,8578449,10143471,1,2
America,Jamaica,Jamaica,JAM,high,987086,1442752,2246857,3087431,4836079,5741138,6680358,8698454,10977393,12245137,13603215,15875405,1,3
America,Martinique,Martinique,MTQ,low,88931,42203,64737,89537,139225,164952,191589,246458,301010,328665,357153,415009,1,1
America,Martinique,Martinique,MTQ,mean,88931,75093,117404,161020,254033,300500,348519,447975,549311,601251,654866,765067,1,2
America,Martinique,Martinique,MTQ,high,88931,110372,172331,238082,372826,443575,515155,663323,821930,906599,995773,1192423,1,3
America,Mexico,Mexico,MEX,low,44771060,36350615,54512355,73231117,111936129,131885677,152044754,193196392,236101789,261203337,265565988,265565988,1,1
America,Mexico,Mexico,MEX,mean,44771060,51250358,77679457,104978773,161575893,190688036,220610165,265565988,265565988,265565988,265565988,265565988,1,2
America,Mexico,Mexico,MEX,high,44771060,66554739,101512293,137759655,213041515,254550606,265565988,265565988,265565988,265565988,265565988,265565988,1,3
America,Montserrat,Montserrat,MSR,low,1702,631,999,1316,2033,2426,2769,3466,4091,4387,4768,5499,1,1
America,Montserrat,Montserrat,MSR,mean,1702,1860,2854,3748,5654,6607,7642,9488,11429,12358,13276,15229,1,2
America,Montserrat,Montserrat,MSR,high,1702,3120,4576,6200,9308,10924,12450,15578,18700,20143,21868,25587,1,3
America,Nicaragua,Nicaragua,NIC,low,36257345,26249847,39557631,52758381,79884959,92958583,105685246,137262846,171930294,171930294,171930294,171930294,1,1
America,Nicaragua,Nicaragua,NIC,mean,36257345,43064605,65035314,86923377,133371598,171930294,171930294,171930294,171930294,171930294,171930294,171930294,1,2
America,Nicaragua,Nicaragua,NIC,high,36257345,60047187,90421739,120969539,171930294,171930294,171930294,171930294,171930294,171930294,171930294,171930294,1,3
America,Panama,Panama,PAN,low,7495843,6536956,9909896,13336597,20444640,24211089,28149894,36596492,45474694,50042725,54686542,64279220,1,1
America,Panama,Panama,PAN,mean,7495843,8243089,12512245,16884965,26246948,31358994,36733964,47930210,59652269,65766288,72071332,85370301,1,2
America,Panama,Panama,PAN,high,7495843,9962941,15151122,20562421,32502203,39024111,45759314,59804062,74849169,82855326,91213119,108993971,1,3
America,Paraguay,Paraguay,PRY,low,20020708,12465797,18195567,23546668,34092070,39326344,44480894,50813072,50813072,50813072,50813072,50813072,1,1
America,Paraguay,Paraguay,PRY,mean,20020708,20824261,30026671,39200350,50813072,50813072,50813072,50813072,50813072,50813072,50813072,50813072,1,2
America,Paraguay,Paraguay,PRY,high,20020708,28675040,41727612,50813072,50813072,50813072,50813072,50813072,50813072,50813072,50813072,50813072,1,3
America,Peru,Peru,PER,low,139938507,133408289,204501652,276685095,422552688,495900782,569056066,714757716,859371246,931455975,1003509412,1147649766,1,1
America,Peru,Peru,PER,mean,139938507,146165373,224309264,303377852,462959830,542907808,622674269,781174746,938716727,1017393203,1096101905,1253546711,1,2
America,Peru,Peru,PER,high,139938507,159159929,244174828,330103565,503319256,589898231,676192754,847506292,1018051519,1103348752,1188653930,1359673229,1,3
America,Puerto Rico,Puerto Rico,PRI,low,1398001,454931,739802,1050228,1716477,2069023,2437435,3208272,4034085,4463883,4906702,5831058,1,1
America,Puerto Rico,Puerto Rico,PRI,mean,1398001,1167932,1908140,2714212,4505981,5492270,6539513,8835326,11414701,12853374,13358104,13358104,1,2
America,Puerto Rico,Puerto Rico,PRI,high,1398001,1973189,3246431,4665704,7944541,9818283,11882449,13358104,13358104,13358104,13358104,13358104,1,3
America,Saint Kitts and N.,Saint Kitts and N.,KNA,low,7395,1344,2864,4745,8729,10783,13001,17391,21865,24114,26430,31218,1,1
America,Saint Kitts and N.,Saint Kitts and N.,KNA,mean,7395,4936,9047,13395,22544,27294,32203,42103,52339,57615,63174,74332,1,2
America,Saint Kitts and N.,Saint Kitts and N.,KNA,high,7395,8886,15508,22367,36749,44132,51782,68023,85252,94439,103791,122910,1,3
America,Saint Lucia,Saint Lucia,LCA,low,56700,23025,35747,48074,71218,83281,95358,119820,144641,157329,169730,194782,1,1
America,Saint Lucia,Saint Lucia,LCA,mean,56700,56185,83558,111967,170270,199562,229469,291954,357374,391235,426388,499866,1,2
America,Saint Lucia,Saint Lucia,LCA,high,56700,87496,132510,178648,273300,323562,376059,488151,611734,677839,747112,895401,1,3
America,Saint Martin,Saint Martin,MAF,low,3965,662,1375,2041,3442,4049,4105,4105,4105,4105,4105,4105,1,1
America,Saint Martin,Saint Martin,MAF,mean,3965,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,1,2
America,Saint Martin,Saint Martin,MAF,high,3965,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,4105,1,3
America,Saint Vincent,Saint Vincent,VCT,low,12610,2492,4686,7208,13210,16412,19370,25709,31903,34982,38164,44461,1,1
America,Saint Vincent,Saint Vincent,VCT,mean,12610,9256,16538,23742,38500,45876,53635,69912,87655,97203,106897,127017,1,2
America,Saint Vincent,Saint Vincent,VCT,high,12610,17651,29177,40694,65350,78737,93298,124345,159467,178893,198683,241857,1,3
America,Sint Maarten,Sint Maarten,SXM,low,787,287,416,508,659,746,746,746,746,746,746,746,1,1
America,Sint Maarten,Sint Maarten,SXM,mean,787,746,746,746,746,746,746,746,746,746,746,746,1,2
America,Sint Maarten,Sint Maarten,SXM,high,787,746,746,746,746,746,746,746,746,746,746,746,1,3
America,Suriname,Suriname,SUR,low,13561084,14204706,21345036,28233666,40862395,47018941,53279319,65906288,78328084,84449386,90533895,102756918,1,1
America,Suriname,Suriname,SUR,mean,13561084,17657424,26406643,34428758,49832225,57612297,65469115,80859993,96024953,103605338,111145722,126392992,1,2
America,Suriname,Suriname,SUR,high,13561084,21102456,31125939,40449562,58938163,68281062,77486467,95605015,113687668,122774498,131947067,150446653,1,3
America,Trinidad and Tobago,Trinidad and Tobago,TTO,low,667095,226657,364670,500443,772244,916144,1061131,1353833,1662904,1820120,1979225,2306324,1,1
America,Trinidad and Tobago,Trinidad and Tobago,TTO,mean,667095,693981,1084803,1488179,2360413,2817649,3292339,4285261,5345747,5907432,6493645,7751913,1,2
America,Trinidad and Tobago,Trinidad and Tobago,TTO,high,667095,1189029,1872248,2601538,4181701,5035147,5943514,7968406,9347154,11539002,11539002,11539002,1,3
America,Venezuela,Venezuela,VEN,low,97556097,61992865,95458739,131600849,209349399,250043283,292081470,379830519,471931529,519436489,567788761,667053741,1,1
America,Venezuela,Venezuela,VEN,mean,97556097,93530035,147376563,204950183,328050264,393653974,461545612,603318460,752535069,829873196,908784556,1069926413,1,2
America,Venezuela,Venezuela,VEN,high,97556097,127482923,202771757,282679162,456354137,548958967,644837636,846163002,1057729816,1165962428,1275595007,1498053426,1,3
America,Virgin Isl. UK,Virgin Isl. UK,VGB,low,18011,6758,11069,15880,27171,33571,40613,52198,52198,52198,52198,52198,1,1
America,Virgin Isl. UK,Virgin Isl. UK,VGB,mean,18011,23705,41794,52198,52198,52198,52198,52198,52198,52198,52198,52198,1,2
America,Virgin Isl. UK,Virgin Isl. UK,VGB,high,18011,47567,52198,52198,52198,52198,52198,52198,52198,52198,52198,52198,1,3
America,Virgin Isl. US,Virgin Isl. US,VIR,low,45953,24294,37365,49880,71602,79982,87208,103080,119260,127453,136146,153558,1,1
