"area_cont","area_ctry","area_name","area_code","mod","D","AUC","OA","EA","FOM","Sen","Spe","TSS","K","nfor","ndefor"
"Africa","Reunion","Reunion","REU","glm",28,83,75,50,60,75,75,50,50,9996,9983
"Africa","Reunion","Reunion","REU","rf",79,81,72,50,57,72,73,45,45,9996,9983
"Africa","Rwanda","Rwanda","RWA","icar",57,93,86,50,75,86,86,72,72,10000,10000
"Africa","Rwanda","Rwanda","RWA","glm",53,92,85,50,74,85,85,70,70,10000,10000
"Africa","Rwanda","Rwanda","RWA","rf",89,92,85,50,74,85,85,71,71,10000,10000
"Africa","Senegal","Senegal","SEN","icar",13,73,67,50,50,67,66,33,33,9883,9972
"Africa","Senegal","Senegal","SEN","glm",8,71,66,50,49,66,65,31,31,9883,9972
"Africa","Senegal","Senegal","SEN","rf",74,69,63,50,46,63,63,26,26,9883,9972
"Africa","Sierra Leone","Sierra Leone","SLE","icar",17,75,68,50,52,68,68,37,37,9993,9999
"Africa","Sierra Leone","Sierra Leone","SLE","glm",13,74,68,50,51,68,68,36,36,9993,9999
"Africa","Sierra Leone","Sierra Leone","SLE","rf",75,70,64,50,47,64,64,29,29,9993,9999
"Africa","South Sudan","South Sudan","SSD","icar",18,76,69,51,58,73,64,37,37,5682,7705
"Africa","South Sudan","South Sudan","SSD","glm",9,68,65,51,53,70,59,29,29,5682,7705
"Africa","South Sudan","South Sudan","SSD","rf",76,71,66,51,55,71,60,31,31,5682,7705
"Africa","Tanzania","Tanzania","TZA","icar",46,90,82,50,70,82,82,64,64,9978,9973
"Africa","Tanzania","Tanzania","TZA","glm",32,86,78,50,64,78,78,56,56,9978,9973
"Africa","Tanzania","Tanzania","TZA","rf",85,89,81,50,68,81,81,61,61,9978,9973
"Africa","Togo","Togo","TGO","icar",17,76,69,50,52,69,69,38,38,10000,10000
"Africa","Togo","Togo","TGO","glm",9,70,65,50,48,65,65,29,29,10000,10000
"Africa","Togo","Togo","TGO","rf",76,70,64,50,47,64,64,28,28,10000,10000
"Africa","Uganda","Uganda","UGA","icar",53,93,85,50,74,85,85,71,71,10000,10000
"Africa","Uganda","Uganda","UGA","glm",42,89,82,50,69,82,82,63,63,10000,10000
"Africa","Uganda","Uganda","UGA","rf",86,90,82,50,70,82,82,64,64,10000,10000
"Africa","Zambia","Zambia","ZMB","icar",33,85,76,50,61,76,76,52,52,10000,10000
"Africa","Zambia","Zambia","ZMB","glm",11,75,68,50,51,68,68,36,36,10000,10000
