"cont","year","fc","perc"
"Africa",2175,51058378,81.6239992377856
"America",2175,235513652,66.6764137576478
"Asia",2175,34872510,88.8513780730166
"Africa",2176,50857080,81.6964467448614
"America",2176,233295732,66.9902344120812
"Asia",2176,34774324,88.8827678006996
"Africa",2177,50655782,81.7688942519372
"America",2177,231077812,67.3040550665146
"Asia",2177,34676138,88.9141575283826
"Africa",2178,50454848,81.8412107547676
"America",2178,228859892,67.6178757209479
"Asia",2178,34577952,88.9455472560656
"Africa",2179,50254378,81.9133602631754
"America",2179,226642138,67.9316728875059
"Asia",2179,34479766,88.9769369837486
"Africa",2180,50053908,81.9855097715833
"America",2180,224424716,68.2454230783131
"Asia",2180,34381580,89.0083267114316
"Africa",2181,49853438,82.0576592799911
"America",2181,222207294,68.5591732691202
"Asia",2181,34283394,89.0397164391146
"Africa",2182,49652968,82.1298087883989
"America",2182,219989872,68.8729234599274
"Asia",2182,34185208,89.0711061667976
"Africa",2183,49452498,82.2019582968068
"America",2183,217772450,69.1866736507345
"Asia",2183,34091841,89.100955276697
"Africa",2184,49252028,82.2741078052146
"America",2184,215555028,69.5004238415417
"Asia",2184,33999307,89.1305380793513
"Africa",2185,49051558,82.3462573136224
"America",2185,213337606,69.8141740323488
"Asia",2185,33906773,89.1601208820056
"Africa",2186,48851088,82.4184068220302
"America",2186,211120184,70.127924223156
"Asia",2186,33814239,89.18970368466
"Africa",2187,48650618,82.4905563304381
"America",2187,208902762,70.4416744139631
"Asia",2187,33721705,89.2192864873143
"Africa",2188,48476338,82.5532800114144
"America",2188,206685340,70.7554246047703
"Asia",2188,33629171,89.2488692899687
"Africa",2189,48328912,82.6063388901819
"America",2189,204467918,71.0691747955775
"Asia",2189,33536637,89.278452092623
"Africa",2190,48181486,82.6593977689495
"America",2190,202250496,71.3829249863846
"Asia",2190,33444103,89.3080348952773
"Africa",2191,48034060,82.712456647717
"America",2191,200033074,71.6966751771918
"Asia",2191,33351569,89.3376176979317
"Africa",2192,47886634,82.7655155264846
"America",2192,197815652,72.0104253679989
"Asia",2192,33259035,89.367200500586
"Africa",2193,47739208,82.8185744052521
"America",2193,195598230,72.3241755588061
"Asia",2193,33166501,89.3967833032404
"Africa",2194,47591782,82.8716332840197
"America",2194,193380808,72.6379257496132
"Asia",2194,33073967,89.4263661058947
"Africa",2195,47444559,82.9246191027274
"America",2195,191163386,72.9516759404204
"Asia",2195,32981433,89.455948908549
"Africa",2196,47297623,82.9775016296262
"America",2196,188945964,73.2654261312275
"Asia",2196,32888899,89.4855317112034
"Africa",2197,47150687,83.0303841565251
"America",2197,186728542,73.5791763220347
"Asia",2197,32796365,89.5151145138577
"Africa",2198,47003874,83.0832224155059
"America",2198,184511120,73.8929265128418
"Asia",2198,32703831,89.544697316512
"Africa",2199,46857812,83.1357903882552
"America",2199,182293698,74.206676703649
"Asia",2199,32611297,89.5742801191664
"Africa",2200,46711750,83.1883583610046
"America",2200,180076276,74.5204268944561
"Asia",2200,32518763,89.6038629218207
"Africa",2201,46565688,83.2409263337539
"America",2201,177858854,74.8341770852633
"Asia",2201,32426229,89.6334457244751
"Africa",2202,46419626,83.2934943065033
"America",2202,175641432,75.1479272760704
"Asia",2202,32333695,89.6630285271294
"Africa",2203,46273564,83.3460622792527
"America",2203,173424010,75.4616774668776
"Asia",2203,32241161,89.6926113297837
"Africa",2204,46127502,83.398630252002
"America",2204,171206588,75.7754276576847
"Asia",2204,32148627,89.7221941324381
"Africa",2205,45981440,83.4511982247514
"America",2205,168991622,76.0888303411303
"Asia",2205,32056093,89.7517769350924
"Africa",2206,45835378,83.5037661975008
"America",2206,166796320,76.3994507017921
"Asia",2206,31963559,89.7813597377468
"Africa",2207,45689316,83.5563341702501
"America",2207,164601018,76.7100710624539
"Asia",2207,31871025,89.8109425404011
"Africa",2208,45543254,83.6089021429995
"America",2208,162405716,77.0206914231156
"Asia",2208,31778491,89.8405253430554
"Africa",2209,45397192,83.6614701157488
"America",2209,160210414,77.3313117837774
"Asia",2209,31685957,89.8701081457098
"Africa",2210,45251130,83.7140380884982
"America",2210,158015112,77.6419321444392
"Asia",2210,31593423,89.8996909483641
"Africa",2211,45105068,83.7666060612476
"America",2211,155819810,77.9525525051009
"Asia",2211,31500889,89.9292737510185
"Africa",2212,44959006,83.8191740339969
"America",2212,153624508,78.2631728657627
"Asia",2212,31408355,89.9588565536728
"Africa",2213,44812944,83.8717420067463
"America",2213,151429206,78.5737932264244
"Asia",2213,31315821,89.9884393563271
"Africa",2214,44666882,83.9243099794956
"America",2214,149233904,78.8844135870862
"Asia",2214,31223287,90.0180221589815
"Africa",2215,44520820,83.976877952245
"America",2215,147038602,79.1950339477479
"Asia",2215,31130753,90.0476049616358
"Africa",2216,44374758,84.0294459249944
"America",2216,144843300,79.5056543084097
"Asia",2216,31038219,90.0771877642902
"Africa",2217,44228696,84.0820138977437
"America",2217,142647998,79.8162746690715
"Asia",2217,30947607,90.1061561101318
"Africa",2218,44082634,84.1345818704931
"America",2218,140452696,80.1268950297332
"Asia",2218,30866608,90.1320512128206
"Africa",2219,43936572,84.1871498432424
"America",2219,138257394,80.437515390395
"Asia",2219,30785609,90.1579463155093
"Africa",2220,43790510,84.2397178159918
"America",2220,136062092,80.7481357510568
"Asia",2220,30704610,90.183841418198
"Africa",2221,43644448,84.2922857887412
"America",2221,133866790,81.0587561117185
"Asia",2221,30623611,90.2097365208868
"Africa",2222,43498386,84.3448537614905
"America",2222,131671488,81.3693764723803
"Asia",2222,30542612,90.2356316235755
"Africa",2223,43352324,84.3974217342399
"America",2223,129476186,81.679996833042
"Asia",2223,30461613,90.2615267262642
"Africa",2224,43206262,84.4499897069892
"America",2224,127280884,81.9906171937038
"Asia",2224,30380614,90.287421828953
"Africa",2225,43060200,84.5025576797386
"America",2225,125085582,82.3012375543656
"Asia",2225,30299615,90.3133169316417
"Africa",2226,42914138,84.555125652488
"America",2226,122890280,82.6118579150273
"Asia",2226,30218616,90.3392120343304
"Africa",2227,42768076,84.6076936252373
"America",2227,120694978,82.9224782756891
"Asia",2227,30137617,90.3651071370191
"Africa",2228,42622014,84.6602615979867
"America",2228,118499676,83.2330986363508
"Asia",2228,30056618,90.3910022397079
"Africa",2229,42475952,84.712829570736
"America",2229,116304374,83.5437189970126
"Asia",2229,29975619,90.4168973423966
"Africa",2230,42329890,84.7653975434854
"America",2230,114109072,83.8543393576743
"Asia",2230,29894620,90.4427924450853
"Africa",2231,42183828,84.8179655162348
"America",2231,111913770,84.1649597183361
"Asia",2231,29813621,90.4686875477741
"Africa",2232,42037766,84.8705334889841
"America",2232,109718468,84.4755800789979
"Asia",2232,29732622,90.4945826504628
"Africa",2233,41891704,84.9231014617335
"America",2233,107523166,84.7862004396596
"Asia",2233,29651623,90.5204777531515
"Africa",2234,41745642,84.9756694344829
"America",2234,105327864,85.0968208003214
"Asia",2234,29570624,90.5463728558402
"Africa",2235,41599580,85.0282374072322
"America",2235,103132562,85.4074411609832
"Asia",2235,29489625,90.572267958529
"Africa",2236,41453518,85.0808053799816
"America",2236,100937260,85.7180615216449
"Asia",2236,29408626,90.5981630612177
"Africa",2237,41307456,85.1333733527309
"America",2237,98741958,86.0286818823067
"Asia",2237,29327627,90.6240581639064
"Africa",2238,41161394,85.1859413254803
"America",2238,96546656,86.3393022429684
"Asia",2238,29246628,90.6499532665952
"Africa",2239,41015332,85.2385092982297
"America",2239,94351354,86.6499226036302
"Asia",2239,29165629,90.6758483692839
"Africa",2240,40869270,85.291077270979
"America",2240,92156052,86.960542964292
"Asia",2240,29084630,90.7017434719726
"Africa",2241,40723208,85.3436452437284
"America",2241,89960750,87.2711633249537
"Asia",2241,29003631,90.7276385746613
"Africa",2242,40577146,85.3962132164777
"America",2242,87765448,87.5817836856155
"Asia",2242,28922632,90.7535336773501
"Africa",2243,40431084,85.4487811892271
"America",2243,86157998,87.8092269707515
"Asia",2243,28841633,90.7794287800388
"Africa",2244,40285022,85.5013491619765
"America",2244,85497894,87.9026272147973
"Asia",2244,28760634,90.8053238827275
"Africa",2245,40138960,85.5539171347258
"America",2245,84837813,87.996024204499
"Asia",2245,28679635,90.8312189854163
"Africa",2246,39992898,85.6064851074752
"America",2246,84177751,88.0894185058293
"Asia",2246,28598636,90.857114088105
"Africa",2247,39846836,85.6590530802245
"America",2247,83517689,88.1828128071597
"Asia",2247,28517637,90.8830091907937
"Africa",2248,39700774,85.7116210529739
"America",2248,83114224,88.2399003713374
"Asia",2248,28436638,90.9089042934825
"Africa",2249,39554712,85.7641890257233
"America",2249,82738107,88.2931183787874
"Asia",2249,28355639,90.9347993961712
"Africa",2250,39408650,85.8167569984726
"America",2250,82361990,88.3463363862374
"Asia",2250,28274640,90.9606944988599
"Africa",2251,39262588,85.869324971222
"America",2251,81985873,88.3995543936874
"Asia",2251,28193641,90.9865896015486
"Africa",2252,39116526,85.9218929439713
"America",2252,81609756,88.4527724011374
"Asia",2252,28112642,91.0124847042374
"Africa",2253,38970464,85.9744609167207
"America",2253,81233639,88.5059904085874
"Asia",2253,28033322,91.0378430363806
"Africa",2254,38824402,86.0270288894701
"America",2254,80857522,88.5592084160374
"Asia",2254,27956701,91.0623385074742
"Africa",2255,38678340,86.0795968622194
"America",2255,80481405,88.6124264234874
"Asia",2255,27880080,91.0868339785679
"Africa",2256,38532278,86.1321648349688
"America",2256,80105288,88.6656444309374
"Asia",2256,27803459,91.1113294496615
