area_cont,area_ctry,area_name,area_code,proj,for2000,for2005,for2010,for2015,for2020,d_se,d_mean,d_min,d_max,andef,pdef,for2030,for2035,for2040,for2050,for2055,for2060,for2070,for2080,for2085,for2090,for2100,yrdis,id_cont,id_d
America,Brazil,Brazil – Tocantins,TO,low,1770972,1581455,1368198,1157649,932765,9001,44570,26928,62212,26928,2.2,663485,528845,394205,124925,0,0,0,0,0,0,0,2055,1,1
America,Brazil,Brazil – Tocantins,TO,mean,1770972,1581455,1368198,1157649,932765,9001,44570,26928,62212,44570,3.9,487065,264215,41365,0,0,0,0,0,0,0,0,2041,1,2
America,Brazil,Brazil – Tocantins,TO,high,1770972,1581455,1368198,1157649,932765,9001,44570,26928,62212,62212,5.9,310645,0,0,0,0,0,0,0,0,0,0,2035,1,3
America,Colombia,Colombia,COL,low,70287967,68461978,67016728,65435709,64205391,18216,295615,259912,331318,259912,0.4,61606271,60306711,59007151,56408031,55108471,53808911,51209791,48610671,47311111,46011551,43412431,2267,1,1
America,Colombia,Colombia,COL,mean,70287967,68461978,67016728,65435709,64205391,18216,295615,259912,331318,295615,0.5,61249241,59771166,58293091,55336941,53858866,52380791,49424641,46468491,44990416,43512341,40556191,2237,1,2
America,Colombia,Colombia,COL,high,70287967,68461978,67016728,65435709,64205391,18216,295615,259912,331318,331318,0.5,60892211,59235621,57579031,54265851,52609261,50952671,47639491,44326311,42669721,41013131,37699951,2213,1,3
America,Costa Rica,Costa Rica,CRI,low,2432831,2356545,2289463,2178989,2117271,2034,18621,14634,22608,14634,0.7,1970931,1897761,1824591,1678251,1605081,1531911,1385571,1239231,1166061,1092891,946551,2164,1,1
America,Costa Rica,Costa Rica,CRI,mean,2432831,2356545,2289463,2178989,2117271,2034,18621,14634,22608,18621,0.8,1931061,1837956,1744851,1558641,1465536,1372431,1186221,1000011,906906,813801,627591,2133,1,2
America,Costa Rica,Costa Rica,CRI,high,2432831,2356545,2289463,2178989,2117271,2034,18621,14634,22608,22608,1,1891191,1778151,1665111,1439031,1325991,1212951,986871,760791,647751,534711,308631,2113,1,3
America,Cuba,Cuba,CUB,low,1566658,1446283,1334451,1273577,1203791,2560,15252,10233,20270,10233,0.8,1101461,1050296,999131,896801,845636,794471,692141,589811,538646,487481,385151,2137,1,1
America,Cuba,Cuba,CUB,mean,1566658,1446283,1334451,1273577,1203791,2560,15252,10233,20270,15252,1.2,1051271,975011,898751,746231,669971,593711,441191,288671,212411,136151,0,2098,1,2
America,Cuba,Cuba,CUB,high,1566658,1446283,1334451,1273577,1203791,2560,15252,10233,20270,20270,1.6,1001091,899741,798391,595691,494341,392991,190291,0,0,0,0,2079,1,3
America,Dominica,Dominica,DMA,low,70674,70565,70000,69111,67462,65,219,93,346,93,0.1,66532,66067,65602,64672,64207,63742,62812,61882,61417,60952,60022,2745,1,1
America,Dominica,Dominica,DMA,mean,70674,70565,70000,69111,67462,65,219,93,346,219,0.3,65272,64177,63082,60892,59797,58702,56512,54322,53227,52132,49942,2328,1,2
America,Dominica,Dominica,DMA,high,70674,70565,70000,69111,67462,65,219,93,346,346,0.5,64002,62272,60542,57082,55352,53622,50162,46702,44972,43242,39782,2214,1,3
